Title,Description,Links,Publication Date
Глава МВФ заявила о перезагрузке мировой торговой системы,"Глава Международного валютного фонда (МВФ) Кристалина Георгиева заявила о перезагрузке мировой торговой системы, что создает риски для ее устойчивости. Результатом этого, по ее словам, во многом стал подрыв доверия между государствами и к международной системе в целом.",https://www.kommersant.ru/doc/7660119,"Thu, 17 Apr 2025 18:43:14 +0300"
"Эксперт оценил перспективу диалога по ядерному сдерживанию с США, Европой и КНР","Руководитель Центра международной безопасности ИМЭМО РАН академик Алексей Арбатов в интервью «Ъ» отметил, что для подключения Китая, Франции и Великобритании к контролю над вооружениями с США и Россией необходимо рационально подойти к формату соответствующих переговоров. Так, отметил эксперт, вовлекать третьи страны в консультации по линии России—США по этому вопросу нецелесообразно.",https://www.kommersant.ru/doc/7660127,"Thu, 17 Apr 2025 18:40:04 +0300"
IKEA зарегистрировала в России новый товарный знак,В базе Роспатента появился новый товарный знак IKEA. Изображение товарного знака -- надпись «IKEA» черным цветом на белом фоне.,https://www.kommersant.ru/doc/7660120,"Thu, 17 Apr 2025 18:34:27 +0300"
Суд в США признал Google монополистом на рынке онлайн-рекламы,"Google незаконно доминировала на двух рынках технологий онлайн-рекламы, постановила окружной судья Леони Бринкема в Александрии, штат Виргиния. Это решение суда позволит властям США добиваться от корпорации продажи сервиса Google Ad Manager, пишет Reuters.",https://www.kommersant.ru/doc/7660107,"Thu, 17 Apr 2025 18:25:49 +0300"
РФ запросила заседание СБ ООН по мораторию на удары по энергообъектам,Россия запросила закрытые консультации Совета безопасности (СБ) ООН по мораторию на удары по энергообъектам Украины. Об этом сообщил первый заместитель постпреда России при ООН Дмитрий Полянский в своем Telegram-канале.,https://www.kommersant.ru/doc/7660114,"Thu, 17 Apr 2025 18:21:16 +0300"
OpenAI решила купить стартап за рекордные для себя $3 млрд // OpenAI готовит крупнейшую покупку в своей истории,"Американская компания OpenAI находится на продвинутой стадии переговоров о покупке стартапа Windsurf, сообщает Bloomberg со ссылкой на собственные источники. Сумма сделки составит примерно $3 млрд, что станет крупнейшей покупкой в истории компании Сэма Альтмана.",https://www.kommersant.ru/doc/7660097,"Thu, 17 Apr 2025 18:17:46 +0300"
Путин встретился с главой МИД Ирана в Кремле,"Президент России Владимир Путин принял в Кремле министра иностранных дел Ирана Аббаса Арагчи, прибывшего с визитом в Москву. Об этом сообщил журналистам пресс-секретарь российского лидера Дмитрий Песков.",https://www.kommersant.ru/doc/7660111,"Thu, 17 Apr 2025 18:16:49 +0300"
Акробат Большого Московского цирка Назар Якубов погиб в зоне СВО,"Цирковой артист Назар Якубов погиб в боевых действиях на Украине, сообщила пресс-служба Большого Московского цирка. Там он многие годы руководил номером «гимнасты на мачте».",https://www.kommersant.ru/doc/7660108,"Thu, 17 Apr 2025 18:15:02 +0300"
"Песков рассказал, как живут подаренные Ким Чен Ыном Путину собаки","Две собаки породы пхунсан, подаренные лидером КНДР Ким Чен Ыном президенту РФ Владимиру Путину, живут в резиденции российского лидера и чувствуют себя прекрасно. Об этом сегодня, 17 апреля, рассказал официальный представитель Кремля Дмитрий Песков.",https://www.kommersant.ru/doc/7660109,"Thu, 17 Apr 2025 18:14:31 +0300"
SpaceX может получить контракт на запуск спутников для «Золотого купола» США,"Компания SpaceX Илона Маска и два ее партнера стали главными претендентами на создание противоракетной системы нового поколения «Золотой купол», сообщило Reuters со ссылкой на источники. Систему поручил разработать президент США Дональд Трамп.",https://www.kommersant.ru/doc/7660093,"Thu, 17 Apr 2025 18:12:34 +0300"
В День Победы пилоты Пулково будут называть Санкт-Петербург Ленинградом,"Пилоты, заходящие на посадку в Пулково, с 8 по 10 мая будут выходить на связь с авиадиспетчерами фразой «Ленинград-Подход (Контроль)», сообщили «Ъ» в филиале «Аэронавигация Северо-Запада» Госкорпорации по организации воздушного движения. Сейчас они произносят фразу «Петербург-Подход (Контроль)».",https://www.kommersant.ru/doc/7660092,"Thu, 17 Apr 2025 18:05:00 +0300"
Во Владивостоке через 30 лет вынесен приговор убийцам многодетной семьи,"Первомайский районный суд столицы Приморья признал Сергея Смагина и Валерия Маркина виновными в убийстве семьи Алатарцевых — мужа, жены и троих детей — в 1994 году. Смагин приговорен к 14 годам 11 месяцам, Маркин — к 14 годам 8 месяцам лишения свободы в колонии строгого режима, сообщила прокуратура Приморья.",https://www.kommersant.ru/doc/7660048,"Thu, 17 Apr 2025 18:03:05 +0300"
Академик РАН: США не сформулировали цель переговоров с КНР по ядерному оружию,"Руководитель Центра международной безопасности ИМЭМО РАН академик Алексей Арбатов в интервью «Ъ» выразил мнение, что Вашингтону стоит сделать конкретное предложение по переговорам с Россией и Китаем по ядерному вооружению. Пока, по его словам, остается неясной цель формата, к которому призывает президент США Дональд Трамп.",https://www.kommersant.ru/doc/7660094,"Thu, 17 Apr 2025 17:59:15 +0300"
СКР возбудил дело после удара ВСУ по электроподстанции в Курской области,Следственный комитет России (СКР) зафиксировал новый удар украинской армии по энергообъекту в Курской области. По факту происшествия возбудили уголовное дело о теракте (п.,https://www.kommersant.ru/doc/7660081,"Thu, 17 Apr 2025 17:52:54 +0300"
Росавиация сняла ограничения на работу аэропорта Волгограда,"Росавиация сообщила, что в 17:22 мск в аэропорту Волгоград были сняты ограничения на прием и выпуск самолетов. Они вводились по соображениям безопасности.",https://www.kommersant.ru/doc/7660080,"Thu, 17 Apr 2025 17:49:54 +0300"
10 тыс. отселенных жителей Кореневского района Курской области хотят вернуться,"Врио губернатора Курской области Александр Хинштейн провел встречу с представителями власти Кореневского района и обсудил с ними вопросы восстановления территорий. По итогам встречи господин Хинштейн сообщил, что в районе остаются жить 2 тыс. человек.",https://www.kommersant.ru/doc/7660062,"Thu, 17 Apr 2025 17:48:12 +0300"
США ввели санкции против банка Йемена,"Минфин США внес Международный банк Йемена в санкционный список. Ведомство при этом разрешило до 17 мая завершить сделки тем компаниям, в которых банк прямо или косвенно владеет долей в 50% и более.",https://www.kommersant.ru/doc/7660072,"Thu, 17 Apr 2025 17:45:48 +0300"
Глава РПЛ Алаев встретится с футболистами «Химок»,Глава Российской премьер-лиги (РПЛ) Александр Алаев проведет встречу с игроками подмосковных «Химок» по поводу ситуации в клубе. Об этом сообщает пресс-служба организации.,https://www.kommersant.ru/doc/7660070,"Thu, 17 Apr 2025 17:41:52 +0300"
Венгрия и Словакия связали вспышку ящура с биотерроризмом,"Власти Венгрии и Словакии предполагают, что продолжающиеся вспышки высококонтагиозной ящурной инфекции могут быть связаны с биотерроризмом, пишет Politico. Впрочем, доказательств в пользу этой теории власти пока не представили.",https://www.kommersant.ru/doc/7660030,"Thu, 17 Apr 2025 17:39:33 +0300"
Россия и Катар создали инвестиционную платформу на $2 млрд,"Российский фонд прямых инвестиций (РФПИ) и Qatar Investment Authority (QIA) объявили о создании новой инвестиционной платформы объемом $2 млрд. Она нацелена на проекты в сфере технологий, здравоохранения и добычи минералов.",https://www.kommersant.ru/doc/7660060,"Thu, 17 Apr 2025 17:37:31 +0300"
Песков: урегулирование на Украине — главный сюжет переговоров Путина и Уиткоффа,Во время контактов со спецпосланником президента США по Ближнему Востоку Стивом Уиткоффом президент России Владимир Путин обсуждает прежде всего украинское урегулирование. Об этом в четверг заявил пресс-секретарь российского лидера Дмитрий Песков.,https://www.kommersant.ru/doc/7660065,"Thu, 17 Apr 2025 17:35:32 +0300"
Globaltrans передал железнодорожные активы ООО «Трансатлант»,"Одна из ведущих групп в сфере грузоперевозок Globaltrans передала 100% долей участия в своих дочерних компаниях в пользу «КСП капитал управление активами» у которой в доверительном управлении находится закрытый паевой инвестиционный фонд «Трансатлант». Сумма проданных активов составила $767 млн, оплата должна состояться в течение 90 дней с даты закрытия сделки.",https://www.kommersant.ru/doc/7660033,"Thu, 17 Apr 2025 17:34:16 +0300"
Эмират Афганистан поблагодарил Россию за решение по «Талибану»,"Движение «Талибан» благодарно российским властям за приостановление запрета деятельности организации на территории страны. Как заявили ТАСС в афганском посольстве в Москве, это поможет укрепить сотрудничество России и Афганистана.",https://www.kommersant.ru/doc/7660047,"Thu, 17 Apr 2025 17:30:43 +0300"
92% граждан при установке самозапрета на кредиты выбрали полный отказ от займов,"Около 92% граждан, которые установили самозапрет на кредиты в первый месяц работы сервиса, выбрали полный отказ от получения кредитов и займов в банке, сообщил Центробанк ТАСС. По данным Национального бюро кредитных историй (НБКИ), с 1 марта самозапрет установили 10 млн человек.",https://www.kommersant.ru/doc/7660043,"Thu, 17 Apr 2025 17:28:55 +0300"
МИД РФ заявил протест посольству Японии в России из-за планов провести стрельбы,Российские власти заявили протест посольству Японии в России в связи с планами проведения на острове Хоккайдо учебных стрельб. Об этом в четверг сообщили в департаменте информации и печати МИД РФ.,https://www.kommersant.ru/doc/7660054,"Thu, 17 Apr 2025 17:26:10 +0300"
Академик РАН рассказал о последствиях истечения срока ДСНВ,"Руководитель Центра международной безопасности ИМЭМО РАН академик Алексей Арбатов в интервью «Ъ» заявил, что, если США и Россия не выработают новое соглашение взамен Договора о стратегических наступательных вооружениях (ДСНВ), две ядерные сверхдержавы утратят «важнейшее связующее звено». По его словам, в таком случае система контроля над вооружениями, предотвращающая ядерную войну, неизбежно распадется.",https://www.kommersant.ru/doc/7660031,"Thu, 17 Apr 2025 17:21:47 +0300"
Песков: Путин и эмир Катара провели глубокий обмен мнениями по ситуации в Сирии,Президент России Владимир Путин и эмир Катара Тамим бен Хамад Аль Тани провели глубокий обмен мнениями по ситуации в Сирии. Об этом в четверг по итогам переговоров двух лидеров в Кремле заявил пресс-секретарь российского президента Дмитрий Песков.,https://www.kommersant.ru/doc/7660040,"Thu, 17 Apr 2025 17:10:49 +0300"
Sky: Карло Анчелотти покинет «Реал» в конце апреля,"Главный тренер мадридского «Реала» Карло Анчелотти, как ожидается, покинет футбольный клуб после финала Кубка Испании, который состоится 26 апреля. Об этом сообщает Sky Sports.",https://www.kommersant.ru/doc/7660039,"Thu, 17 Apr 2025 17:10:30 +0300"
Теннисист Андрей Рублев вылетел с турнира в Барселоне,"Российский теннисист Андрей Рублев проиграл испанцу Алехандро Давидовичу Фокине во втором круге турнира Ассоциации теннисистов-профессионалов (ATP) в Барселоне. Призовой фонд розыгрыша составил более $2,8 млн.",https://www.kommersant.ru/doc/7660035,"Thu, 17 Apr 2025 17:09:25 +0300"
Главы МИДов НАТО проведут неформальную встречу в Турции,Главы МИДов стран НАТО 14–15 мая проведут неформальное заседание в Турции. Об этом сообщили в офисе альянса.,https://www.kommersant.ru/doc/7660036,"Thu, 17 Apr 2025 17:06:55 +0300"
Путин наградил Татьяну Буланову медалью «За труды в культуре и искусстве»,Певица Татьяна Буланова награждена медалью «За труды в культуре и искусстве». Соответствующий указ подписал президент Владимир Путин.,https://www.kommersant.ru/doc/7660026,"Thu, 17 Apr 2025 17:05:40 +0300"
"Хоккеист Панарин достиг соглашения с женщиной, обвинившей его в сексуальном насилии","Российский нападающий клуба Национальной хоккейной лиги (НХЛ) «Нью-Йорк Рейнджерс» Артемий Панарин и компания Madison Square Garden (MSG) Sports, владеющая командой, выплатили денежную компенсацию женщине, обвинившей хоккеиста в сексуальном насилии. Об этом сообщает The Athletic.",https://www.kommersant.ru/doc/7660032,"Thu, 17 Apr 2025 17:03:30 +0300"
"Ушаков: о приближении встречи Путина и Трампа говорить можно, но без конкретики","Помощник президента РФ Юрий Ушаков заявил, что говорить о приближении встречи президентов РФ и США Владимира Путина и Дональда Трампа можно, но конкретные сроки пока не согласовывались. «Говорить об этом можно, потому что эта тема на слуху, но я бы сказал, что конкретные сроки какие-то не согласовывались»,-- сказал господин Ушаков, отвечая на вопрос журналиста Павла Зарубина о том, приближаются ли стороны к встрече лидеров.",https://www.kommersant.ru/doc/7660029,"Thu, 17 Apr 2025 17:01:43 +0300"
В Узбекистане восстановили доступ к Rutube,"Доступ к российскому видеохостингу Rutube на территории Узбекистана восстановлен, передает ТАСС. По состоянию на 17:35 по местному времени (15:35) сервис работал в привычном режиме.",https://www.kommersant.ru/doc/7660013,"Thu, 17 Apr 2025 17:00:12 +0300"
Захарова: Таллин выполняет заказ Запада по реализации русофобии,"Представитель МИД России Мария Захарова заявила, что власти Эстонии по графику выполняют заказ Запада по проведению политики русофобии. Так она прокомментировала внесение поправок в конституцию Эстонии, согласно которым иностранные граждане, постоянно проживающие в стране, лишатся права голоса на муниципальных выборах.",https://www.kommersant.ru/doc/7659997,"Thu, 17 Apr 2025 16:59:01 +0300"
Мальдивы закрыли въезд для израильтян,"Президент Мальдивской Республики Мохамед Муиззу ратифицировал поправку в закон об иммиграции, которая запрещает въезд в эту страну людей с паспортами Израиля. Это было сделано в знак протеста против действий Израиля в секторе Газа.",https://www.kommersant.ru/doc/7659975,"Thu, 17 Apr 2025 16:56:13 +0300"
Путин наградил орденом Почета главного раввина России Берла Лазара,Президент Владимир Путин наградил орденом Почета главного раввина России Берла Лазара. Указ размещен на портале правовых актов.,https://www.kommersant.ru/doc/7660017,"Thu, 17 Apr 2025 16:56:01 +0300"
В Минюсте рассказали о взрывном росте бесплатной юридической помощи россиянам,"Институт бесплатной юридической помощи развивается в России взрывными темпами, а ее приоритетными получателями являются участники специальной военной операции (СВО) и их семьи. Об этом заявил директор департамента развития и регулирования юридической помощи и услуг Минюста Роман Рябый на круглом столе, организованном сегодня, 17 апреля, комитетом Совета федерации по госстроительству.",https://www.kommersant.ru/doc/7659989,"Thu, 17 Apr 2025 16:50:03 +0300"
Песков: судьба моратория на удары пока не обсуждается по зарубежным каналам,"Пресс-секретарь президента РФ Дмитрий Песков заявил, что в настоящее время не ведутся контакты по дальнейшей судьбе моратория на удары по энергообъектам Украины. Ранее Дмитрий Песков сообщил, что новых указаний Владимира Путина по действию моратория на удары по энергообъектам Украины не было.",https://www.kommersant.ru/doc/7660015,"Thu, 17 Apr 2025 16:49:28 +0300"
Спецпред Кабулов: РФ заинтересована в нормализации отношений с Афганистаном,России предстоит совместно работать с афганцами в интересах нормализации двусторонних связей между Москвой и Кабулом. Так спецпредставитель президента по Афганистану Замир Кабулов прокомментировал ТАСС приостановку запрета «Талибана» в России.,https://www.kommersant.ru/doc/7660014,"Thu, 17 Apr 2025 16:46:49 +0300"
Песков: новых указаний Путина по мораторию на удары по энергообъектам не было,"Пресс-секретарь Дмитрий Песков заявил, что новых указаний  Владимира Путина по действию моратория на удары по энергообъектам Украины не было. Срок в тридцать дней истек вчера.",https://www.kommersant.ru/doc/7660010,"Thu, 17 Apr 2025 16:45:21 +0300"
Путин присвоил звание героя России главврачу больницы в Херсоне,Президент РФ Владимир Путин присвоил звание героя России главврачу Алешковской центральной районной больницы Херсонской области Владимиру Харлану. Указ опубликован на официальном интернет-портале правовой информации.,https://www.kommersant.ru/doc/7660004,"Thu, 17 Apr 2025 16:42:30 +0300"
Работа аэропорта Волгограда приостановлена по соображениям безопасности,"Росавиация сообщила, что аэропорт Волгограда временно не принимает и не отправляет рейсы. «Для обеспечения безопасности полетов гражданских воздушных судов (ВС) временные ограничения с 15:39 МСК на прием и выпуск ВС введены в аэропорту Волгоград (Гумрак)»,— говорится в сообщении авиационного ведомства.",https://www.kommersant.ru/doc/7660005,"Thu, 17 Apr 2025 16:39:49 +0300"
Путин назвал Катар ключевым партнером «Роснефти»,"Президент РФ Владимир Путин в ходе российско-катарских переговоров рассказал об укреплении экономических отношений двух стран. По его словам, государства активно сотрудничают по гуманитарным вопросам и даже в области спорта.",https://www.kommersant.ru/doc/7659980,"Thu, 17 Apr 2025 16:32:29 +0300"
Суд оставил за Татьяной Ким ООО «Вайлдберриз» при разводе,"Савеловский суд Москвы вынес решение по разделу имущества Татьяны Ким и Владислава Бакальчука, сообщила «Ъ» пресс-служба маркетплейса. 1% в ООО «Вайлдберриз», которым владел Владислав Бакальчук, отошел Татьяне Ким.",https://www.kommersant.ru/doc/7659985,"Thu, 17 Apr 2025 16:29:27 +0300"
Белый дом: Трамп нацелен работать с Мелони над окончанием конфликта на Украине,Президент США Дональд Трамп настроен работать совместно с премьер-министром Италии Джорджей Мелони над окончанием украинского конфликта. Об этом сообщает агентство Reuters со ссылкой на высокопоставленного представителя Белого дома.,https://www.kommersant.ru/doc/7659993,"Thu, 17 Apr 2025 16:29:27 +0300"
Reuters: поставки российской арктической нефти в Китай вырастут благодаря скидкам и схеме «борт-в-борт» // Reuters: поставки российской арктической нефти в Китай вырастут,"По данным агентства Reuters, экспорт российской арктической нефти в Китай в ближайший месяц может резко увеличиться благодаря росту морских перевозок по схеме «борт-в-борт» (ship-to-ship, STS)». По этой схеме нефть и/или нефтепродукты перегружаются с одних танкеров на другие — в данном случае, чтобы избежать американских санкций.",https://www.kommersant.ru/doc/7659909,"Thu, 17 Apr 2025 16:21:41 +0300"
